condition,symptoms
"Flu","fever, cough, sore throat, body aches, fatigue"
"Cold","runny nose, sneezing, sore throat, cough"
"COVID-19","fever, cough, shortness of breath, loss of taste or smell"
"Diabetes","increased thirst, frequent urination, extreme fatigue, blurred vision"
"Hypertension","headaches, shortness of breath, nosebleeds, flushing"
"Asthma","shortness of breath, chest tightness, wheezing, coughing"
"Allergy","sneezing, itching, runny nose, hives"
"Heart Attack","chest pain, shortness of breath, nausea, lightheadedness"
"Stroke","sudden numbness, confusion, trouble speaking, severe headache"
"Pneumonia","cough, fever, chills, difficulty breathing"
"Appendicitis","abdominal pain, nausea, vomiting, loss of appetite"
"Anemia","fatigue, weakness, pale skin, shortness of breath"
"Kidney Stones","severe pain in side, blood in urine, nausea, vomiting"
"Gallstones","abdominal pain, nausea, vomiting, indigestion"
"Acid Reflux","heartburn, regurgitation, difficulty swallowing, chest pain"
